Link+AF8-ID,Time,Moving+AF8-Average+AF8-throughput,Instantaneous+AF8-throughput,Time+AF8-average+AF8-throughput
3,137811005.1,0.584766419,0.944,0.580943662
3,137831000.2,0.584689307,0.88016,0.580943662
3,137831000.3,0.584698535,0.88,0.580943662
3,137846000.1,0.584638683,0.81392,0.580943662
3,137846000.2,0.584643964,0.82848,0.580943662
3,137846001.1,0.584647965,0.83952,0.580943662
3,137846001.2,0.584653478,0.85472,0.580943662
3,137846002.1,0.584658001,0.8672,0.580943662
3,137846002.3,0.584664036,0.88384,0.580943662
3,137851000.2,0.584648816,0.90032,0.580943662
3,137851000.3,0.584656302,0.92096,0.580943662
3,137861000.3,0.584626427,0.4704,0.580943662
3,137861000.5,0.584640469,0.48064,0.580943662
3,137886000.1,0.584538821,0.20272,0.580943662
3,137886000.2,0.584544681,0.21888,0.580943662
3,137886001.1,0.584548564,0.2296,0.580943662
3,137886001.2,0.58455396,0.24448,0.580943662
3,137886002.2,0.584558423,0.2568,0.580943662
3,137886002.3,0.584564399,0.27328,0.580943662
3,137891000.2,0.584551797,0.29696,0.580943662
3,137891000.4,0.584561891,0.3248,0.580943662
3,137906001.1,0.584538449,0.31808,0.580943662
3,137906001.7,0.584580098,0.43296,0.580943662
3,137906002.8,0.584633405,0.58,0.580943662
3,137906003.6,0.584688222,0.7312,0.580943662
3,137911000.2,0.584675449,0.7544,0.580943662
3,137911000.4,0.584685368,0.7472,0.580943662
3,137911001.3,0.584693253,0.73024,0.580943662
3,137911001.5,0.58470265,0.75616,0.580943662
3,137911003,0.584752821,0.89456,0.580943662
3,137911003.7,0.584804503,1.03712,0.580943662
3,137926000.1,0.584745617,1.05008,0.580943662
3,137926000.2,0.584751823,1.0672,0.580943662
3,137926001.2,0.584756285,1.07952,0.580943662
3,137926001.3,0.584762258,1.096,0.580943662
3,137926002.2,0.584766837,1.10864,0.580943662
3,137926002.3,0.584772926,1.12544,0.580943662
3,137951000.3,0.584676935,1.01888,0.580943662
3,137951000.4,0.584688417,1.05056,0.580943662
3,137961000.2,0.584651662,0.54224,0.580943662
3,137961000.3,0.584658794,0.53872,0.580943662
3,137961001.2,0.584665516,0.52992,0.580943662
3,137961001.3,0.58467375,0.53088,0.580943662
3,137966000.1,0.584656741,0.23552,0.580943662
3,137966000.2,0.584662423,0.2512,0.580943662
3,137966001.1,0.584666536,0.26256,0.580943662
3,137966001.2,0.58467216,0.27808,0.580943662
3,137966002.2,0.584676853,0.29104,0.580943662
3,137966002.3,0.584683057,0.30816,0.580943662
3,138006000.8,0.584543799,0.244,0.580943662
3,138006001.3,0.584575506,0.33152,0.580943662
3,138006002.3,0.584611094,0.42976,0.580943662
3,138006002.8,0.584648192,0.53216,0.580943662
3,138011000.2,0.584634557,0.53744,0.580943662
3,138011000.3,0.584643599,0.54272,0.580943662
3,138011001.3,0.584654551,0.5544,0.580943662
3,138011001.5,0.584667013,0.56608,0.580943662
3,138011002.8,0.584701903,0.6624,0.580943662
3,138011003.3,0.584738304,0.76288,0.580943662
3,138011003.8,0.584743055,0.776,0.580943662
3,138011004.3,0.584749313,0.79328,0.580943662
3,138011004.8,0.584753253,0.80416,0.580943662
3,138011005.3,0.584758699,0.8192,0.580943662
3,138011005.8,0.584763045,0.8312,0.580943662
3,138011006.4,0.584768897,0.84736,0.580943662
3,138021000.3,0.584739074,0.79776,0.580943662
3,138021000.5,0.584753101,0.83648,0.580943662
3,138046000.1,0.584651261,0.84768,0.580943662
3,138046000.2,0.584656824,0.86304,0.580943662
3,138046001.1,0.584660587,0.87344,0.580943662
3,138046001.2,0.58466586,0.888,0.580943662
3,138046002.1,0.584669855,0.89904,0.580943662
3,138046002.3,0.58467536,0.91424,0.580943662
3,138061000.2,0.58461903,0.56256,0.580943662
3,138061000.3,0.584627721,0.56576,0.580943662
3,138081000.4,0.584557005,0.16016,0.580943662
3,138081000.6,0.584572473,0.20288,0.580943662
3,138086000.1,0.584556175,0.21632,0.580943662
3,138086000.2,0.584562547,0.23392,0.580943662
3,138086001.2,0.584566888,0.24592,0.580943662
3,138086001.3,0.584572739,0.26208,0.580943662
3,138086002.2,0.58457737,0.27488,0.580943662
3,138086002.3,0.584583511,0.29184,0.580943662
3,138101000.4,0.5845341,0.25296,0.580943662
3,138101000.6,0.584549682,0.296,0.580943662
3,138101001.4,0.584554429,0.30912,0.580943662
3,138101001.7,0.584560684,0.3264,0.580943662
3,138106001.8,0.584603471,0.50304,0.580943662
3,138106002.7,0.584668924,0.68384,0.580943662
3,138106002.8,0.584674137,0.69824,0.580943662
3,138106003.7,0.584680853,0.7168,0.580943662
3,138111001.6,0.584716055,0.82864,0.580943662
3,138111002.4,0.584773918,0.98848,0.580943662
3,138126000.1,0.584714883,1.0008,0.580943662
3,138126000.2,0.584720848,1.01728,0.580943662
3,138126001.1,0.584725651,1.03056,0.580943662
3,138126001.3,0.584731964,1.048,0.580943662
3,138126002.2,0.584737404,1.06304,0.580943662
3,138126002.3,0.584744354,1.08224,0.580943662
3,138141000.3,0.584691524,0.94144,0.580943662
3,138141000.5,0.584703685,0.97504,0.580943662
3,138151000.2,0.584666806,0.99008,0.580943662
3,138151000.2,0.584673754,1.00928,0.580943662
3,138151001.2,0.584682958,0.9528,0.580943662
3,138151001.4,0.58469367,0.9824,0.580943662
3,138166000.1,0.584635235,0.26,0.580943662
3,138166000.2,0.584641778,0.27808,0.580943662
3,138166001.2,0.584646348,0.29072,0.580943662
3,138166001.3,0.584652427,0.30752,0.580943662
3,138166002.2,0.584656361,0.3184,0.580943662
3,138166002.3,0.584661803,0.33344,0.580943662
3,138201000.2,0.584520227,0.17952,0.580943662
3,138201000.3,0.584528215,0.1824,0.580943662
3,138206001.5,0.584560896,0.27616,0.580943662
3,138206002.3,0.58461623,0.42912,0.580943662
3,138206003.2,0.584672142,0.58368,0.580943662
3,138206004,0.584729561,0.7424,0.580943662
3,138211000.4,0.584723588,0.78432,0.580943662
3,138211000.6,0.584740257,0.8304,0.580943662
3,138211002.4,0.584812545,1.03024,0.580943662
3,138211003.4,0.584816882,1.04224,0.580943662
3,138211003.4,0.584890682,1.24624,0.580943662
3,138211004.4,0.584894324,1.25632,0.580943662
3,138211004.4,0.58490017,1.27248,0.580943662
3,138211005.4,0.58490416,1.28352,0.580943662
3,138211005.5,0.584909311,1.29776,0.580943662
3,138211006.5,0.584914806,1.31296,0.580943662
3,138221000.4,0.584887389,1.26672,0.580943662
3,138221000.6,0.584903767,1.312,0.580943662
3,138246000.1,0.584802569,1.32464,0.580943662
3,138246000.2,0.584808645,1.34144,0.580943662
3,138246001.1,0.584812981,1.35344,0.580943662
3,138246001.3,0.584818825,1.3696,0.580943662
3,138246002.2,0.584822756,1.38048,0.580943662
3,138246002.3,0.584828195,1.39552,0.580943662
3,138261000.3,0.58477627,0.77232,0.580943662
3,138261000.5,0.584789288,0.7664,0.580943662
3,138271000.2,0.584754807,0.25936,0.580943662
3,138271000.3,0.584764121,0.28512,0.580943662
3,138281000.3,0.584731437,0.22528,0.580943662
3,138281000.4,0.584742544,0.256,0.580943662
3,138286000.1,0.584725915,0.26848,0.580943662
3,138286000.2,0.584731931,0.28512,0.580943662
